The U.S. Department of State Data Use Statement at http://: applies to these and all data available from the Ulaanbaatar Mongolia air quality monitoring program.,,,,,,,,,
Ulaanbaatar Air Quality Monitoring program January-2019,,,,,,,,,
Site,Parameter,Date (LST),Year,Month,Day,Hour,Value,Unit,AQI,Duration
Ulaanbaatar,PM2.5,01/01/2019 00:00,2019,01,01,00," 0.38",mg/m³,404,1 Hr
Ulaanbaatar,PM2.5,01/01/2019 01:00,2019,01,01,01," 0.398",mg/m³,419,1 Hr
Ulaanbaatar,PM2.5,01/01/2019 02:00,2019,01,01,02," 0.35",mg/m³,380,1 Hr
Ulaanbaatar,PM2.5,01/01/2019 03:00,2019,01,01,03," 0.438",mg/m³,451,1 Hr
Ulaanbaatar,PM2.5,01/01/2019 04:00,2019,01,01,04," 0.373",mg/m³,399,1 Hr
Ulaanbaatar,PM2.5,01/01/2019 05:00,2019,01,01,05," 0.311",mg/m³,349,1 Hr
Ulaanbaatar,PM2.5,01/01/2019 06:00,2019,01,01,06," 0.251",mg/m³,301,1 Hr
Ulaanbaatar,PM2.5,01/01/2019 07:00,2019,01,01,07," 0.204",mg/m³,254,1 Hr
Ulaanbaatar,PM2.5,01/01/2019 08:00,2019,01,01,08," 0.187",mg/m³,237,1 Hr
Ulaanbaatar,PM2.5,01/01/2019 09:00,2019,01,01,09," 0.202",mg/m³,252,1 Hr
Ulaanbaatar,PM2.5,01/01/2019 10:00,2019,01,01,10," 0.294",mg/m³,336,1 Hr
Ulaanbaatar,PM2.5,01/01/2019 11:00,2019,01,01,11," 0.429",mg/m³,443,1 Hr
Ulaanbaatar,PM2.5,01/01/2019 12:00,2019,01,01,12," 0.16",mg/m³,210,1 Hr
Ulaanbaatar,PM2.5,01/01/2019 13:00,2019,01,01,13," 0.026",mg/m³,80,1 Hr
Ulaanbaatar,PM2.5,01/01/2019 14:00,2019,01,01,14," 0.034",mg/m³,97,1 Hr
Ulaanbaatar,PM2.5,01/01/2019 15:00,2019,01,01,15," 0.025",mg/m³,78,1 Hr
Ulaanbaatar,PM2.5,01/01/2019 16:00,2019,01,01,16," 0.025",mg/m³,78,1 Hr
Ulaanbaatar,PM2.5,01/01/2019 17:00,2019,01,01,17," 0.036",mg/m³,102,1 Hr
Ulaanbaatar,PM2.5,01/01/2019 18:00,2019,01,01,18," 0.048",mg/m³,132,1 Hr
Ulaanbaatar,PM2.5,01/01/2019 19:00,2019,01,01,19," 0.117",mg/m³,183,1 Hr
Ulaanbaatar,PM2.5,01/01/2019 20:00,2019,01,01,20," 0.205",mg/m³,255,1 Hr
Ulaanbaatar,PM2.5,01/01/2019 21:00,2019,01,01,21," 0.199",mg/m³,249,1 Hr
Ulaanbaatar,PM2.5,01/01/2019 22:00,2019,01,01,22," 0.3",mg/m³,340,1 Hr
Ulaanbaatar,PM2.5,01/01/2019 23:00,2019,01,01,23," 0.508",mg/m³,509,1 Hr
Ulaanbaatar,PM2.5,01/02/2019 00:00,2019,01,02,00," 0.566",mg/m³,567,1 Hr
Ulaanbaatar,PM2.5,01/02/2019 01:00,2019,01,02,01," 0.469",mg/m³,475,1 Hr
Ulaanbaatar,PM2.5,01/02/2019 02:00,2019,01,02,02," 0.501",mg/m³,502,1 Hr
Ulaanbaatar,PM2.5,01/02/2019 03:00,2019,01,02,03," 0.571",mg/m³,572,1 Hr
Ulaanbaatar,PM2.5,01/02/2019 04:00,2019,01,02,04," 0.41",mg/m³,428,1 Hr
Ulaanbaatar,PM2.5,01/02/2019 05:00,2019,01,02,05," 0.24",mg/m³,290,1 Hr
Ulaanbaatar,PM2.5,01/02/2019 06:00,2019,01,02,06," 0.178",mg/m³,228,1 Hr
Ulaanbaatar,PM2.5,01/02/2019 07:00,2019,01,02,07," 0.155",mg/m³,205,1 Hr
Ulaanbaatar,PM2.5,01/02/2019 08:00,2019,01,02,08," 0.278",mg/m³,323,1 Hr
Ulaanbaatar,PM2.5,01/02/2019 09:00,2019,01,02,09," 0.384",mg/m³,407,1 Hr
Ulaanbaatar,PM2.5,01/02/2019 10:00,2019,01,02,10," 0.682",mg/m³,683,1 Hr
Ulaanbaatar,PM2.5,01/02/2019 11:00,2019,01,02,11," 0.811",mg/m³,812,1 Hr
Ulaanbaatar,PM2.5,01/02/2019 12:00,2019,01,02,12," 0.073",mg/m³,160,1 Hr
Ulaanbaatar,PM2.5,01/02/2019 13:00,2019,01,02,13," 0.059",mg/m³,153,1 Hr
Ulaanbaatar,PM2.5,01/02/2019 14:00,2019,01,02,14," 0.031",mg/m³,91,1 Hr
Ulaanbaatar,PM2.5,01/02/2019 15:00,2019,01,02,15," 0.037",mg/m³,105,1 Hr
Ulaanbaatar,PM2.5,01/02/2019 16:00,2019,01,02,16," 0.031",mg/m³,91,1 Hr
Ulaanbaatar,PM2.5,01/02/2019 17:00,2019,01,02,17," 0.027",mg/m³,82,1 Hr
Ulaanbaatar,PM2.5,01/02/2019 18:00,2019,01,02,18," 0.043",mg/m³,119,1 Hr
Ulaanbaatar,PM2.5,01/02/2019 19:00,2019,01,02,19," 0.346",mg/m³,377,1 Hr
Ulaanbaatar,PM2.5,01/02/2019 20:00,2019,01,02,20," 0.338",mg/m³,371,1 Hr
Ulaanbaatar,PM2.5,01/02/2019 21:00,2019,01,02,21," 0.321",mg/m³,357,1 Hr
Ulaanbaatar,PM2.5,01/02/2019 22:00,2019,01,02,22," 0.308",mg/m³,347,1 Hr
Ulaanbaatar,PM2.5,01/02/2019 23:00,2019,01,02,23," 0.271",mg/m³,317,1 Hr
Ulaanbaatar,PM2.5,01/03/2019 00:00,2019,01,03,00," 0.282",mg/m³,326,1 Hr
Ulaanbaatar,PM2.5,01/03/2019 01:00,2019,01,03,01," 0.288",mg/m³,331,1 Hr
Ulaanbaatar,PM2.5,01/03/2019 02:00,2019,01,03,02," 0.375",mg/m³,400,1 Hr
Ulaanbaatar,PM2.5,01/03/2019 03:00,2019,01,03,03," 0.221",mg/m³,271,1 Hr
Ulaanbaatar,PM2.5,01/03/2019 04:00,2019,01,03,04," 0.207",mg/m³,257,1 Hr
Ulaanbaatar,PM2.5,01/03/2019 05:00,2019,01,03,05," 0.164",mg/m³,214,1 Hr
Ulaanbaatar,PM2.5,01/03/2019 06:00,2019,01,03,06," 0.143",mg/m³,196,1 Hr
Ulaanbaatar,PM2.5,01/03/2019 07:00,2019,01,03,07," 0.12",mg/m³,184,1 Hr
Ulaanbaatar,PM2.5,01/03/2019 08:00,2019,01,03,08," 0.149",mg/m³,199,1 Hr
Ulaanbaatar,PM2.5,01/03/2019 09:00,2019,01,03,09," 0.25",mg/m³,300,1 Hr
Ulaanbaatar,PM2.5,01/03/2019 10:00,2019,01,03,10," 0.279",mg/m³,324,1 Hr
Ulaanbaatar,PM2.5,01/03/2019 11:00,2019,01,03,11," 0.368",mg/m³,395,1 Hr
Ulaanbaatar,PM2.5,01/03/2019 12:00,2019,01,03,12," 0.068",mg/m³,157,1 Hr
Ulaanbaatar,PM2.5,01/03/2019 13:00,2019,01,03,13," 0.059",mg/m³,153,1 Hr
Ulaanbaatar,PM2.5,01/03/2019 14:00,2019,01,03,14," 0.035",mg/m³,99,1 Hr
Ulaanbaatar,PM2.5,01/03/2019 15:00,2019,01,03,15," 0.021",mg/m³,70,1 Hr
Ulaanbaatar,PM2.5,01/03/2019 16:00,2019,01,03,16," 0.017",mg/m³,61,1 Hr
Ulaanbaatar,PM2.5,01/03/2019 17:00,2019,01,03,17," 0.03",mg/m³,89,1 Hr
Ulaanbaatar,PM2.5,01/03/2019 18:00,2019,01,03,18," 0.044",mg/m³,122,1 Hr
Ulaanbaatar,PM2.5,01/03/2019 19:00,2019,01,03,19," 0.106",mg/m³,177,1 Hr
Ulaanbaatar,PM2.5,01/03/2019 20:00,2019,01,03,20," 0.186",mg/m³,236,1 Hr
Ulaanbaatar,PM2.5,01/03/2019 21:00,2019,01,03,21," 0.186",mg/m³,236,1 Hr
Ulaanbaatar,PM2.5,01/03/2019 22:00,2019,01,03,22," 0.194",mg/m³,244,1 Hr
Ulaanbaatar,PM2.5,01/03/2019 23:00,2019,01,03,23," 0.189",mg/m³,239,1 Hr
Ulaanbaatar,PM2.5,01/04/2019 00:00,2019,01,04,00," 0.269",mg/m³,316,1 Hr
Ulaanbaatar,PM2.5,01/04/2019 01:00,2019,01,04,01," 0.223",mg/m³,273,1 Hr
Ulaanbaatar,PM2.5,01/04/2019 02:00,2019,01,04,02," 0.21",mg/m³,260,1 Hr
Ulaanbaatar,PM2.5,01/04/2019 03:00,2019,01,04,03," 0.124",mg/m³,186,1 Hr
Ulaanbaatar,PM2.5,01/04/2019 04:00,2019,01,04,04," 0.074",mg/m³,161,1 Hr
Ulaanbaatar,PM2.5,01/04/2019 05:00,2019,01,04,05," 0.084",mg/m³,166,1 Hr
Ulaanbaatar,PM2.5,01/04/2019 06:00,2019,01,04,06," 0.073",mg/m³,160,1 Hr
Ulaanbaatar,PM2.5,01/04/2019 07:00,2019,01,04,07," 0.093",mg/m³,170,1 Hr
Ulaanbaatar,PM2.5,01/04/2019 08:00,2019,01,04,08," 0.184",mg/m³,234,1 Hr
Ulaanbaatar,PM2.5,01/04/2019 09:00,2019,01,04,09," 0.24",mg/m³,290,1 Hr
Ulaanbaatar,PM2.5,01/04/2019 10:00,2019,01,04,10," 0.31",mg/m³,348,1 Hr
Ulaanbaatar,PM2.5,01/04/2019 11:00,2019,01,04,11," 0.614",mg/m³,615,1 Hr
Ulaanbaatar,PM2.5,01/04/2019 12:00,2019,01,04,12," 0.66",mg/m³,661,1 Hr
Ulaanbaatar,PM2.5,01/04/2019 13:00,2019,01,04,13," 0.168",mg/m³,218,1 Hr
Ulaanbaatar,PM2.5,01/04/2019 14:00,2019,01,04,14," 0.063",mg/m³,155,1 Hr
Ulaanbaatar,PM2.5,01/04/2019 15:00,2019,01,04,15," 0.049",mg/m³,134,1 Hr
