concentration,aqi_mn,aqi_us
0,0,0
0.1,0,0
0.2,0,1
0.3,0,1
0.4,1,2
0.5,1,2
0.6,1,3
0.7,1,3
0.8,1,3
0.9,1,4
1,1,4
1.1,2,5
1.2,2,5
1.3,2,5
1.4,2,6
1.5,2,6
1.6,2,7
1.7,2,7
1.8,3,8
1.9,3,8
2,3,8
2.1,3,9
2.2,3,9
2.3,3,10
2.4,3,10
2.5,4,10
2.6,4,11
2.7,4,11
2.8,4,12
2.9,4,12
3,4,13
3.1,4,13
3.2,5,13
3.3,5,14
3.4,5,14
3.5,5,15
3.6,5,15
3.7,5,15
3.8,5,16
3.9,6,16
4,6,17
4.1,6,17
4.2,6,18
4.3,6,18
4.4,6,18
4.5,6,19
4.6,7,19
4.7,7,20
4.8,7,20
4.9,7,20
5,7,21
5.1,7,21
5.2,7,22
5.3,8,22
5.4,8,23
5.5,8,23
5.6,8,23
5.7,8,24
5.8,8,24
5.9,8,25
6,9,25
6.1,9,25
6.2,9,26
6.3,9,26
6.4,9,27
6.5,9,27
6.6,9,28
6.7,10,28
6.8,10,28
6.9,10,29
7,10,29
7.1,10,30
7.2,10,30
7.3,10,30
7.4,11,31
7.5,11,31
7.6,11,32
7.7,11,32
7.8,11,33
7.9,11,33
8,11,33
8.1,12,34
8.2,12,34
8.3,12,35
8.4,12,35
8.5,12,35
8.6,12,36
8.7,12,36
8.8,13,37
8.9,13,37
9,13,37
9.1,13,38
9.2,13,38
9.3,13,39
9.4,13,39
9.5,14,40
9.6,14,40
9.7,14,40
9.8,14,41
9.9,14,41
10,14,42
10.1,14,42
10.2,15,42
10.3,15,43
10.4,15,43
10.5,15,44
10.6,15,44
10.7,15,45
10.8,15,45
10.9,16,45
11,16,46
11.1,16,46
11.2,16,47
11.3,16,47
11.4,16,47
11.5,16,48
11.6,17,48
11.7,17,49
11.8,17,49
11.9,17,50
12,17,50
12.1,17,51
12.2,17,51
12.3,18,51
12.4,18,52
12.5,18,52
12.6,18,52
12.7,18,52
12.8,18,52
12.9,18,53
13,19,53
13.1,19,53
13.2,19,53
13.3,19,54
13.4,19,54
13.5,19,54
13.6,19,54
13.7,20,54
13.8,20,55
13.9,20,55
14,20,55
14.1,20,55
14.2,20,55
14.3,20,56
14.4,21,56
14.5,21,56
14.6,21,56
14.7,21,56
14.8,21,57
14.9,21,57
15,21,57
15.1,22,57
15.2,22,58
15.3,22,58
15.4,22,58
15.5,22,58
15.6,22,58
15.7,22,59
15.8,23,59
15.9,23,59
16,23,59
16.1,23,59
16.2,23,60
16.3,23,60
16.4,23,60
16.5,24,60
16.6,24,60
16.7,24,61
16.8,24,61
16.9,24,61
17,24,61
17.1,24,62
17.2,25,62
17.3,25,62
17.4,25,62
17.5,25,62
17.6,25,63
17.7,25,63
17.8,25,63
17.9,26,63
18,26,63
18.1,26,64
18.2,26,64
18.3,26,64
18.4,26,64
18.5,26,64
18.6,27,65
18.7,27,65
18.8,27,65
18.9,27,65
19,27,66
19.1,27,66
19.2,27,66
19.3,28,66
19.4,28,66
19.5,28,67
19.6,28,67
19.7,28,67
19.8,28,67
19.9,28,67
20,29,68
20.1,29,68
20.2,29,68
20.3,29,68
20.4,29,68
20.5,29,69
20.6,29,69
20.7,30,69
20.8,30,69
20.9,30,70
21,30,70
21.1,30,70
21.2,30,70
21.3,30,70
21.4,31,71
21.5,31,71
21.6,31,71
21.7,31,71
21.8,31,71
21.9,31,72
22,31,72
22.1,32,72
22.2,32,72
22.3,32,72
22.4,32,73
22.5,32,73
22.6,32,73
22.7,32,73
22.8,33,74
22.9,33,74
23,33,74
23.1,33,74
23.2,33,74
23.3,33,75
23.4,33,75
23.5,34,75
23.6,34,75
23.7,34,75
23.8,34,76
23.9,34,76
24,34,76
24.1,34,76
24.2,35,76
24.3,35,77
24.4,35,77
24.5,35,77
24.6,35,77
24.7,35,77
24.8,35,78
24.9,36,78
25,36,78
25.1,36,78
25.2,36,79
25.3,36,79
25.4,36,79
25.5,36,79
25.6,37,79
25.7,37,80
25.8,37,80
25.9,37,80
26,37,80
26.1,37,80
26.2,37,81
26.3,38,81
26.4,38,81
26.5,38,81
26.6,38,81
26.7,38,82
26.8,38,82
26.9,38,82
27,39,82
27.1,39,83
27.2,39,83
27.3,39,83
27.4,39,83
27.5,39,83
27.6,39,84
27.7,40,84
27.8,40,84
27.9,40,84
28,40,84
28.1,40,85
28.2,40,85
28.3,40,85
28.4,41,85
28.5,41,85
28.6,41,86
28.7,41,86
28.8,41,86
28.9,41,86
29,41,87
29.1,42,87
29.2,42,87
29.3,42,87
29.4,42,87
29.5,42,88
29.6,42,88
29.7,42,88
29.8,43,88
29.9,43,88
30,43,89
30.1,43,89
30.2,43,89
30.3,43,89
30.4,43,89
30.5,44,90
30.6,44,90
30.7,44,90
30.8,44,90
30.9,44,91
31,44,91
31.1,44,91
31.2,45,91
31.3,45,91
31.4,45,92
31.5,45,92
31.6,45,92
31.7,45,92
31.8,45,92
31.9,46,93
32,46,93
32.1,46,93
32.2,46,93
32.3,46,93
32.4,46,94
32.5,46,94
32.6,47,94
32.7,47,94
32.8,47,95
32.9,47,95
33,47,95
33.1,47,95
33.2,47,95
33.3,48,96
33.4,48,96
33.5,48,96
33.6,48,96
33.7,48,96
33.8,48,97
33.9,48,97
34,49,97
34.1,49,97
34.2,49,97
34.3,49,98
34.4,49,98
34.5,49,98
34.6,49,98
34.7,50,99
34.8,50,99
34.9,50,99
35,48,99
35.1,48,99
35.2,48,100
35.3,49,100
35.4,49,101
35.5,49,101
35.6,50,101
35.7,50,101
35.8,50,102
