year,Frozen beef   (t),Horse meat (t),Edible meet offal (t)
1/1/1995,1926,1.1,1177.4
1/1/1996,3130.4,64.4,1830.9
1/1/1997,6432.1,101.8,1114.5
1/1/1998,6726.8,248.9,1587.1
1/1/1999,13224.7,74.1,3151.1
1/1/2000,15116,4.8,812
1/1/2001,13544.4,4062.6,3429.8
1/1/2002,15292.1,7136.5,1628.9
1/1/2003,9814.3,5112.2,886.8
1/1/2004,5004.8,3442.4,6.1
1/1/2005,2792.4,4960.2,404.4
1/1/2006,2689.8,8814.3,1025.1
1/1/2007,3879.3,7072.8,1082.3
1/1/2008,4210.4,6097.1,1561.6
1/1/2009,8818.5,8635.3,568.4
1/1/2010,3888.2,10925,2048.6
1/1/2011,,3865.1,414.6
1/1/2012,,1462.1,821.2
1/1/2013,,2597.8,790.4
1/1/2014,,1822.2,202.8
1/1/2015,847.65,3856.9,42.7
1/1/2016,695.09,7983.6,8.4
1/1/2017,600.13,26118.71,127.86
1/1/2018,1114.1,32200.8,1631.3
