month,"Beef, without bones, kg","Mutton, with bones, kg","Goat meat, with bones, kg","Chicken, thigh, kg, imported","Horse meat, with bones, kg"
12/1/2010,4640,3710,2590,4420,2710
1/1/2011,5380,4205,3165,4285,3460
2/1/2011,5415,4250,3395,4195,3605
3/1/2011,5070,3810,3260,4090,3535
4/1/2011,4845,3610,2805,3910,3290
5/1/2011,5160,4105,3045,3830,3370
6/1/2011,5290,4040,3050,3850,3630
7/1/2011,5515,4244,3180,3750,3705
8/1/2011,5365,4255,3260,3600,3690
9/1/2011,5265,4325,3270,3750,3650
10/1/2011,5250,4135,3265,3630,3640
11/1/2011,5280,4100,3250,3630,3520
12/1/2011,5445,4405,3415,3690,3720
1/1/2012,6080,4985,4135,3770,4360
2/1/2012,7400,5905,4460,3925,4830
3/1/2012,8505,7025,5565,3950,6230
4/1/2012,8665,7015,5480,4035,6160
5/1/2012,9110,7190,5530,4035,6180
6/1/2012,9300,7200,5815,4275,6460
7/1/2012,9260,7600,5855,4350,6375
8/1/2012,8870,7200,5840,5500,6150
9/1/2012,8460,6915,5750,4650,5810
10/1/2012,8285,6230,5010,6560,5220
11/1/2012,8140,6130,4750,6560,5475
12/1/2012,8245,6250,4705,6560,5520
1/1/2013,8454,6478,5144,6560,5637
2/1/2013,9000,7095,5840,6000,6170
3/1/2013,9300,7060,5850,5425,6250
4/1/2013,9970,7420,6155,5000,6215
5/1/2013,9970,7490,6150,4985,6400
6/1/2013,9920,7470,6090,5045,6395
7/1/2013,9890,7420,6050,4845,6290
8/1/2013,9600,6710,5830,4855,5730
9/1/2013,9565,6540,5950,5070,6140
10/1/2013,9150,6215,5430,5040,5390
11/1/2013,8751,6083,4876,5040,5411
12/1/2013,8860,6250,5020,5040,5670
1/1/2014,9830,6850,5550,5040,6430
2/1/2014,9840,7400,5670,5000,6500
3/1/2014,9970,7560,5720,5455,6545
4/1/2014,10470,7630,5650,6500,6600
5/1/2014,10730,7800,5780,6980,6725
6/1/2014,10780,7685,6080,7049.5,6605
7/1/2014,9610,6960,6200,7182.78,6200
8/1/2014,8835,6585,5738.75,7261.11,5728.75
9/1/2014,9410,6392,5623,7261.11,5664
10/1/2014,9716,5965,5315,7261.11,5518
11/1/2014,9520,5836,4980,6626.67,5390
12/1/2014,9395,5825,4735,6526.67,5435
1/1/2015,9742,6778,4931,6799,5675
2/1/2015,9781,6925,5012,6799,5675
3/1/2015,9840,7272,5558,6799,5750
4/1/2015,10347,7837,6234,6843,5954
5/1/2015,10691,7973,6312,6843,6037
6/1/2015,10894,7858,6343,6800,6225
7/1/2015,10600,7384,5889,6800,6159
8/1/2015,9545,6887,5382,6746,5575
9/1/2015,9248,6293,4830,6885,5355
10/1/2015,8419,5463,3995,6885,4856
11/1/2015,7828,4946,3631,6923,4606
12/1/2015,7603,4625,3340,6896,4714
1/1/2016,7930,5247,3621,6715,4825
2/1/2016,8419,5997,4204,6679,4825
3/1/2016,8638,6408,4743,6679,4835
4/1/2016,9976,7381,5256,6679,5650
5/1/2016,10123,7335,5369,6679,5743
6/1/2016,9946,7029,5225,6823,5689
7/1/2016,9466,6575,5407,6838,5000
8/1/2016,8667,6139,4892,6838,4818
9/1/2016,8011,5645,4500,6838,4550
10/1/2016,7271,4871,3849,6902,4550
11/1/2016,7231,4443,3540,6779,4550
12/1/2016,7524,4864,3667,6722,4550
1/1/2017,8230,5648,4300,6600,4644
2/1/2017,8583,6026,4379,6651,4625
3/1/2017,9004,6669,4664,6651,4824
4/1/2017,9345,7079,4981,6651,6315
5/1/2017,9436,7235,5181,6651,6397
6/1/2017,9301,6698,4918,6691,5734
7/1/2017,9110,6636,4821,6721,5358
8/1/2017,8515,6393,4513,6681,5325
9/1/2017,8371,6208,4435,6681,5212
10/1/2017,8279,5759,4131,6635,4993
11/1/2017,8165,5379,3779,6623,4900
12/1/2017,7975,5141,3548,6520,4900
1/1/2018,8001,5232,3612,6411,5075
2/1/2018,8464,5943,4067,6425,5519
3/1/2018,9277,6533,4685,6425,5649
4/1/2018,10016,7289,5261,6339,6075
5/1/2018,10188,7488,5039,6704,6075
6/1/2018,10535,7514,5188,7081,6275
7/1/2018,10814,7533,5504,6921,6831
8/1/2018,9981,6977,5244,7045,6274
9/1/2018,9480,6412,4700,6858,6081
10/1/2018,9360,6437,4815,7136,5845
11/1/2018,9349,6689,4973,7536,5868
12/1/2018,10000,6692,5319,7742,6378
1/1/2019,10794,7156,5809,8067,6702
2/1/2019,11062,7324,5966,8091,6747
3/1/2019,11293,7938,6020,8233,6745
4/1/2019,11801,8710,6399,8233,6721
