Date,"Restaurant food /capital salad, gulyas, tea/","Canteen food, /tsuivan, milk tea/",Mens haircuts,"Womens haircuts, simple cuts"
12/1/2010,5500,2700,2500,2920
1/1/2011,5550,2700,2500,3000
2/1/2011,5550,2700,2500,3000
3/1/2011,5550,2700,2500,3000
4/1/2011,5550,2700,2500,3050
5/1/2011,5575,2700,2700,3200
6/1/2011,5575,2783.33,3000,3500
7/1/2011,5610,2783.33,3000,3500
8/1/2011,5610,2783.33,3000,3500
9/1/2011,5800,2783.33,3000,3500
10/1/2011,5800,2783.33,3500,3500
11/1/2011,5800,2783.33,3500,3500
12/1/2011,5800,2783.33,3500,3500
1/1/2012,5800,2880,3500,3900
2/1/2012,5800,3180,3500,3900
3/1/2012,5800,3180,3500,4125
4/1/2012,5800,3260,3500,4125
5/1/2012,5800,3500,3500,4125
6/1/2012,5800,3500,3500,4125
7/1/2012,5800,3500,3500,4125
8/1/2012,6300,3500,3500,4300
9/1/2012,6300,3500,3500,4300
10/1/2012,6300,3500,3500,4500
11/1/2012,6300,3500,3500,4500
12/1/2012,6300,3500,3500,4500
1/1/2013,6300,3700,3500,4500
2/1/2013,6300,3700,3500,4500
3/1/2013,6300,3800,3500,4750
4/1/2013,6300,3800,3500,5000
5/1/2013,6300,3800,3500,5000
6/1/2013,6300,3800,3500,5000
7/1/2013,6300,3800,3700,5000
8/1/2013,6300,4000,3900,5000
9/1/2013,6300,4000,4050,5000
10/1/2013,6300,4200,4400,5200
11/1/2013,6700,4300,4400,6000
12/1/2013,6700,4300,4400,6000
1/1/2014,6700,4300,4400,6800
2/1/2014,6700,4300,4400,6800
3/1/2014,6700,4300,4400,6800
4/1/2014,6800,4300,4800,6800
5/1/2014,6800,4450,4800,6500
6/1/2014,6800,4450,4800,7125
7/1/2014,6800,4450,4875,7125
8/1/2014,6800,4450,4875,7125
9/1/2014,6800,4450,4875,7125
10/1/2014,6800,4450,4875,7125
11/1/2014,6800,4483.33,4875,7125
12/1/2014,6800,4483.33,4875,7125
1/1/2015,6362,4393,4973,7099
2/1/2015,6362,4393,4973,7099
3/1/2015,6362,4393,5161,7248
4/1/2015,6362,4393,5161,7248
5/1/2015,6362,4393,5161,7248
6/1/2015,6362,4393,5161,7248
7/1/2015,6362,4393,5161,7248
8/1/2015,6362,4393,5320,7339
9/1/2015,6362,4393,5320,7339
10/1/2015,6362,4393,5320,7339
11/1/2015,6362,4462,5440,7437
12/1/2015,6362,4513,5440,7437
1/1/2016,6114,4593,5085,7362
2/1/2016,6114,4593,5085,7362
3/1/2016,6114,4593,5085,7362
4/1/2016,6114,4593,5085,7362
5/1/2016,6114,4593,5085,7362
6/1/2016,6114,4593,5085,7362
7/1/2016,6201,4597,5167,7525
8/1/2016,6201,4597,5167,7525
9/1/2016,6201,4597,5167,7525
10/1/2016,6201,4597,5085,7362
11/1/2016,6201,4597,5277,7962
12/1/2016,6201,4597,5277,7962
1/1/2017,6201,4597,5277,7962
2/1/2017,6201,4597,5277,7962
3/1/2017,5646,4597,5277,7962
4/1/2017,5646,4678,5646,8243
5/1/2017,5646,4678,5646,8428
6/1/2017,5970,4678,5646,8428
7/1/2017,5970,4678,5646,8428
8/1/2017,5970,4678,5646,8428
9/1/2017,5970,4822,5646,8428
10/1/2017,6073,4796,5801,8921
11/1/2017,6073,4638,6018,8921
12/1/2017,6073,4866,6018,8921
1/1/2018,6073,4866,6018,8921
2/1/2018,6127,4908,6018,8921
3/1/2018,6335,4837,6018,8921
4/1/2018,6335,4837,6018,8921
5/1/2018,6335,4868,6018,8921
6/1/2018,6519,4868,6018,8921
7/1/2018,6519,4868,6018,8654
8/1/2018,6519,4868,6018,8921
9/1/2018,6430,4794,6314,9259
10/1/2018,6430,4834,6314,9259
11/1/2018,6653,4956,6928,9714
12/1/2018,6653,4956,6928,9714
1/1/2019,6664,4978,6928,9714
2/1/2019,6764,4978,6928,9714
3/1/2019,6964,4978,7109,9714
4/1/2019,6964,4978,7496,9740
