year,livestock
1970,22574.72
1971,22692.57
1972,23108.05
1973,23538.02
1974,24313.5
1975,24351.57
1976,23683.96
1977,22942.11
1978,24025.66
1979,24284.6
1980,23771.44
1981,24263.05
1982,24764.64
1983,23570.29
1984,22591.94
1985,22485.49
1986,22644
1987,22741.07
1988,23122.23
1989,24674.92
1990,25856.88
1991,25527.9
1992,25694.09
1993,25174.7
1994,26808.1
1995,28572.31
1996,29300.12
1997,31292.3
1998,32897.53
1999,33568.9
2000,30227.5
2001,26075.34
2002,23897.57
2003,25427.7
2004,28027.95
2005,30398.83
2006,34802.94
2007,40263.84
2008,43288.51
2009,44023.9
2010,32729.53
2011,36335.78
2012,40920.92
2013,45144.32
2014,51982.58
2015,55979.78
2016,61549.24
2017,66218.96
2018,66460.18
