Auction Number,Price,Bid,Name,Time
957,"427,450,000 ₮","1,000,000 ₮",С. Г***Р,11:26:31
956,"426,450,000 ₮","50,000 ₮",Б. Б***А,11:24:37
955,"426,400,000 ₮","50,000 ₮",Н. Э***С,11:24:21
954,"426,350,000 ₮","50,000 ₮",С. Г***Р,11:24:11
953,"426,300,000 ₮","50,000 ₮",Б. Б***А,11:22:16
952,"426,250,000 ₮","50,000 ₮",С. Г***Р,11:20:23
951,"426,200,000 ₮","50,000 ₮",Б. Б***А,11:19:39
950,"426,150,000 ₮","100,000 ₮",Б. Б***Н,11:17:46
949,"426,050,000 ₮","50,000 ₮",С. Г***Р,11:16:09
948,"426,000,000 ₮","1,000,000 ₮",Б. Б***Н,11:15:05
947,"425,000,000 ₮","50,000 ₮",С. Г***Р,11:13:28
946,"424,950,000 ₮","50,000 ₮",Б. Б***А,11:12:40
945,"424,900,000 ₮","300,000 ₮",Б. Б***Ч,11:12:37
944,"424,600,000 ₮","50,000 ₮",Б. Б***А,11:12:22
943,"424,550,000 ₮","50,000 ₮",Б. Б***Ч,11:12:17
942,"424,500,000 ₮","50,000 ₮",Б. Б***А,11:11:44
941,"424,450,000 ₮","50,000 ₮",Д. О***Р,11:11:29
940,"424,400,000 ₮","100,000 ₮",Ц. Б***Л,11:11:16
939,"424,300,000 ₮","50,000 ₮",Б. Б***А,11:10:56
938,"424,250,000 ₮","50,000 ₮",С. Г***Р,11:10:30
937,"424,200,000 ₮","50,000 ₮",Б. Б***А,11:10:25
936,"424,150,000 ₮","50,000 ₮",С. Г***Р,11:08:32
935,"424,100,000 ₮","1,000,000 ₮",Ц. О***Л,11:06:44
934,"423,100,000 ₮","50,000 ₮",Д. О***Р,11:06:22
933,"423,050,000 ₮","50,000 ₮",С. Г***Р,11:06:17
932,"423,000,000 ₮","50,000 ₮",Б. Б***А,11:06:10
931,"422,950,000 ₮","50,000 ₮",С. Г***Р,11:06:04
930,"422,900,000 ₮","50,000 ₮",Б. Б***А,11:05:42
929,"422,850,000 ₮","50,000 ₮",С. Г***Р,11:05:37
928,"422,800,000 ₮","50,000 ₮",Б. Б***А,11:05:21
927,"422,750,000 ₮","50,000 ₮",С. Г***Р,11:05:16
926,"422,700,000 ₮","50,000 ₮",Б. Б***А,11:05:10
925,"422,650,000 ₮","50,000 ₮",С. Г***Р,11:04:54
924,"422,600,000 ₮","50,000 ₮",Ц. О***Л,11:04:53
923,"422,550,000 ₮","50,000 ₮",Б. Б***А,11:02:58
