Auction Number,Price,Bid,Name,Time,Plate
957,"427,450,000 ₮","1,000,000 ₮",С. Г***Р,11:26:31,0001 УАР
956,"426,450,000 ₮","50,000 ₮",Б. Б***А,11:24:37,0001 УАР
955,"426,400,000 ₮","50,000 ₮",Н. Э***С,11:24:21,0001 УАР
954,"426,350,000 ₮","50,000 ₮",С. Г***Р,11:24:11,0001 УАР
953,"426,300,000 ₮","50,000 ₮",Б. Б***А,11:22:16,0001 УАР
952,"426,250,000 ₮","50,000 ₮",С. Г***Р,11:20:23,0001 УАР
951,"426,200,000 ₮","50,000 ₮",Б. Б***А,11:19:39,0001 УАР
950,"426,150,000 ₮","100,000 ₮",Б. Б***Н,11:17:46,0001 УАР
949,"426,050,000 ₮","50,000 ₮",С. Г***Р,11:16:09,0001 УАР
948,"426,000,000 ₮","1,000,000 ₮",Б. Б***Н,11:15:05,0001 УАР
947,"425,000,000 ₮","50,000 ₮",С. Г***Р,11:13:28,0001 УАР
946,"424,950,000 ₮","50,000 ₮",Б. Б***А,11:12:40,0001 УАР
945,"424,900,000 ₮","300,000 ₮",Б. Б***Ч,11:12:37,0001 УАР
944,"424,600,000 ₮","50,000 ₮",Б. Б***А,11:12:22,0001 УАР
943,"424,550,000 ₮","50,000 ₮",Б. Б***Ч,11:12:17,0001 УАР
942,"424,500,000 ₮","50,000 ₮",Б. Б***А,11:11:44,0001 УАР
941,"424,450,000 ₮","50,000 ₮",Д. О***Р,11:11:29,0001 УАР
940,"424,400,000 ₮","100,000 ₮",Ц. Б***Л,11:11:16,0001 УАР
939,"424,300,000 ₮","50,000 ₮",Б. Б***А,11:10:56,0001 УАР
938,"424,250,000 ₮","50,000 ₮",С. Г***Р,11:10:30,0001 УАР
937,"424,200,000 ₮","50,000 ₮",Б. Б***А,11:10:25,0001 УАР
936,"424,150,000 ₮","50,000 ₮",С. Г***Р,11:08:32,0001 УАР
935,"424,100,000 ₮","1,000,000 ₮",Ц. О***Л,11:06:44,0001 УАР
934,"423,100,000 ₮","50,000 ₮",Д. О***Р,11:06:22,0001 УАР
