date,product,market,size,price
2019-01-02,Aleika High Grade Flour,Bars,kg,
2019-01-02,Aleika High Grade Flour,Bayanzurkh,kg,
2019-01-02,Aleika High Grade Flour,Bumbugur,kg,
2019-01-02,Aleika High Grade Flour,Emart,kg,
2019-01-02,Aleika High Grade Flour,Kharkhorin,kg,
2019-01-02,Aleika High Grade Flour,Khuchit Shonkhor,kg,
2019-01-02,Aleika High Grade Flour,Max/M Mart,kg,
2019-01-02,Aleika High Grade Flour,Mercury/Ikh Nayad,kg,
2019-01-02,Aleika High Grade Flour,Nomin,kg,
2019-01-02,Aleika High Grade Flour,Orgil,kg,
2019-01-02,Aleika High Grade Flour,Sansar,kg,
2019-01-02,Aleika High Grade Flour,Saruul,kg,
2019-01-02,Aleika High Grade Flour,Tavan Erdene,kg,
2019-01-02,"Altan Taria Flour, First Grade",Bars,kg,950.0
2019-01-02,"Altan Taria Flour, First Grade",Bayanzurkh,kg,1100.0
2019-01-02,"Altan Taria Flour, First Grade",Bumbugur,kg,1000.0
2019-01-02,"Altan Taria Flour, First Grade",Emart,kg,1080.0
2019-01-02,"Altan Taria Flour, First Grade",Kharkhorin,kg,1100.0
2019-01-02,"Altan Taria Flour, First Grade",Khuchit Shonkhor,kg,1050.0
2019-01-02,"Altan Taria Flour, First Grade",Max/M Mart,kg,1012.0
2019-01-02,"Altan Taria Flour, First Grade",Mercury/Ikh Nayad,kg,
2019-01-02,"Altan Taria Flour, First Grade",Nomin,kg,1010.0
2019-01-02,"Altan Taria Flour, First Grade",Orgil,kg,1075.0
2019-01-02,"Altan Taria Flour, First Grade",Sansar,kg,1160.0
2019-01-02,"Altan Taria Flour, First Grade",Saruul,kg,
2019-01-02,"Altan Taria Flour, First Grade",Tavan Erdene,kg,1100.0
2019-01-02,"Altan Taria Flour, High Grade",Bars,kg,1250.0
2019-01-02,"Altan Taria Flour, High Grade",Bayanzurkh,kg,1400.0
2019-01-02,"Altan Taria Flour, High Grade",Bumbugur,kg,1250.0
2019-01-02,"Altan Taria Flour, High Grade",Emart,kg,1448.0
2019-01-02,"Altan Taria Flour, High Grade",Kharkhorin,kg,1300.0
2019-01-02,"Altan Taria Flour, High Grade",Khuchit Shonkhor,kg,1300.0
2019-01-02,"Altan Taria Flour, High Grade",Max/M Mart,kg,1410.0
2019-01-02,"Altan Taria Flour, High Grade",Mercury/Ikh Nayad,kg,
2019-01-02,"Altan Taria Flour, High Grade",Nomin,kg,1400.0
2019-01-02,"Altan Taria Flour, High Grade",Orgil,kg,1420.0
2019-01-02,"Altan Taria Flour, High Grade",Sansar,kg,1310.0
2019-01-02,"Altan Taria Flour, High Grade",Saruul,kg,
2019-01-02,"Altan Taria Flour, High Grade",Tavan Erdene,kg,1300.0
2019-01-02,"Altan Taria Packaged Flour, 1st Grade",Bars,kg,1000.0
2019-01-02,"Altan Taria Packaged Flour, 1st Grade",Bayanzurkh,kg,1100.0
2019-01-02,"Altan Taria Packaged Flour, 1st Grade",Bumbugur,kg,1000.0
2019-01-02,"Altan Taria Packaged Flour, 1st Grade",Emart,kg,1100.0
2019-01-02,"Altan Taria Packaged Flour, 1st Grade",Kharkhorin,kg,1150.0
2019-01-02,"Altan Taria Packaged Flour, 1st Grade",Khuchit Shonkhor,kg,1100.0
2019-01-02,"Altan Taria Packaged Flour, 1st Grade",Max/M Mart,kg,1040.0
2019-01-02,"Altan Taria Packaged Flour, 1st Grade",Mercury/Ikh Nayad,kg,1200.0
2019-01-02,"Altan Taria Packaged Flour, 1st Grade",Nomin,kg,1069.0
2019-01-02,"Altan Taria Packaged Flour, 1st Grade",Orgil,kg,1110.0
2019-01-02,"Altan Taria Packaged Flour, 1st Grade",Sansar,kg,1090.0
2019-01-02,"Altan Taria Packaged Flour, 1st Grade",Saruul,kg,
2019-01-02,"Altan Taria Packaged Flour, 1st Grade",Tavan Erdene,kg,1100.0
2019-01-02,"Altan Taria Packaged Flour, 2nd Grade",Bars,kg,800.0
2019-01-02,"Altan Taria Packaged Flour, 2nd Grade",Bayanzurkh,kg,900.0
2019-01-02,"Altan Taria Packaged Flour, 2nd Grade",Bumbugur,kg,850.0
2019-01-02,"Altan Taria Packaged Flour, 2nd Grade",Emart,kg,840.0
2019-01-02,"Altan Taria Packaged Flour, 2nd Grade",Kharkhorin,kg,900.0
2019-01-02,"Altan Taria Packaged Flour, 2nd Grade",Khuchit Shonkhor,kg,850.0
2019-01-02,"Altan Taria Packaged Flour, 2nd Grade",Max/M Mart,kg,870.0
2019-01-02,"Altan Taria Packaged Flour, 2nd Grade",Mercury/Ikh Nayad,kg,1000.0
2019-01-02,"Altan Taria Packaged Flour, 2nd Grade",Nomin,kg,819.0
2019-01-02,"Altan Taria Packaged Flour, 2nd Grade",Orgil,kg,820.0
2019-01-02,"Altan Taria Packaged Flour, 2nd Grade",Sansar,kg,850.0
2019-01-02,"Altan Taria Packaged Flour, 2nd Grade",Saruul,kg,
2019-01-02,"Altan Taria Packaged Flour, 2nd Grade",Tavan Erdene,kg,900.0
2019-01-02,"Altan Taria Packaged Flour, High Grade",Bars,kg,1300.0
2019-01-02,"Altan Taria Packaged Flour, High Grade",Bayanzurkh,kg,1400.0
2019-01-02,"Altan Taria Packaged Flour, High Grade",Bumbugur,kg,1250.0
2019-01-02,"Altan Taria Packaged Flour, High Grade",Emart,kg,1480.0
2019-01-02,"Altan Taria Packaged Flour, High Grade",Kharkhorin,kg,1300.0
2019-01-02,"Altan Taria Packaged Flour, High Grade",Khuchit Shonkhor,kg,1300.0
2019-01-02,"Altan Taria Packaged Flour, High Grade",Max/M Mart,kg,1430.0
2019-01-02,"Altan Taria Packaged Flour, High Grade",Mercury/Ikh Nayad,kg,1500.0
2019-01-02,"Altan Taria Packaged Flour, High Grade",Nomin,kg,1450.0
2019-01-02,"Altan Taria Packaged Flour, High Grade",Orgil,kg,1340.0
2019-01-02,"Altan Taria Packaged Flour, High Grade",Sansar,kg,1330.0
2019-01-02,"Altan Taria Packaged Flour, High Grade",Saruul,kg,
2019-01-02,"Altan Taria Packaged Flour, High Grade",Tavan Erdene,kg,1300.0
2019-01-02,"Altan Taria Packaged Flour, Top Grade",Bars,kg,1700.0
2019-01-02,"Altan Taria Packaged Flour, Top Grade",Bayanzurkh,kg,1700.0
2019-01-02,"Altan Taria Packaged Flour, Top Grade",Bumbugur,kg,1750.0
2019-01-02,"Altan Taria Packaged Flour, Top Grade",Emart,kg,1860.0
2019-01-02,"Altan Taria Packaged Flour, Top Grade",Kharkhorin,kg,1700.0
2019-01-02,"Altan Taria Packaged Flour, Top Grade",Khuchit Shonkhor,kg,1850.0
2019-01-02,"Altan Taria Packaged Flour, Top Grade",Max/M Mart,kg,1780.0
2019-01-02,"Altan Taria Packaged Flour, Top Grade",Mercury/Ikh Nayad,kg,1800.0
2019-01-02,"Altan Taria Packaged Flour, Top Grade",Nomin,kg,1799.0
2019-01-02,"Altan Taria Packaged Flour, Top Grade",Orgil,kg,1780.0
2019-01-02,"Altan Taria Packaged Flour, Top Grade",Sansar,kg,1750.0
2019-01-02,"Altan Taria Packaged Flour, Top Grade",Saruul,kg,
2019-01-02,"Altan Taria Packaged Flour, Top Grade",Tavan Erdene,kg,1700.0
2019-01-02,"Apple, Fuji",Bars,kg,4000.0
2019-01-02,"Apple, Fuji",Bayanzurkh,kg,4500.0
2019-01-02,"Apple, Fuji",Bumbugur,kg,4500.0
2019-01-02,"Apple, Fuji",Emart,kg,
2019-01-02,"Apple, Fuji",Kharkhorin,kg,4000.0
2019-01-02,"Apple, Fuji",Khuchit Shonkhor,kg,4000.0
2019-01-02,"Apple, Fuji",Max/M Mart,kg,4500.0
2019-01-02,"Apple, Fuji",Mercury/Ikh Nayad,kg,
2019-01-02,"Apple, Fuji",Nomin,kg,4199.0
2019-01-02,"Apple, Fuji",Orgil,kg,4800.0
2019-01-02,"Apple, Fuji",Sansar,kg,4500.0
2019-01-02,"Apple, Fuji",Saruul,kg,
2019-01-02,"Apple, Fuji",Tavan Erdene,kg,4500.0
2019-01-02,Atar Brand Bread,Bars,each,1200.0
2019-01-02,Atar Brand Bread,Bayanzurkh,each,1200.0
2019-01-02,Atar Brand Bread,Bumbugur,each,1200.0
2019-01-02,Atar Brand Bread,Emart,each,1310.0
2019-01-02,Atar Brand Bread,Kharkhorin,each,1200.0
2019-01-02,Atar Brand Bread,Khuchit Shonkhor,each,1250.0
2019-01-02,Atar Brand Bread,Max/M Mart,each,1310.0
2019-01-02,Atar Brand Bread,Mercury/Ikh Nayad,each,1300.0
2019-01-02,Atar Brand Bread,Nomin,each,1239.0
2019-01-02,Atar Brand Bread,Orgil,each,1240.0
2019-01-02,Atar Brand Bread,Sansar,each,1320.0
2019-01-02,Atar Brand Bread,Saruul,each,
2019-01-02,Atar Brand Bread,Tavan Erdene,each,1250.0
2019-01-02,Beef Boneless,Bars,kg,10000.0
2019-01-02,Beef Boneless,Bayanzurkh,kg,10000.0
2019-01-02,Beef Boneless,Bumbugur,kg,10000.0
2019-01-02,Beef Boneless,Emart,kg,10200.0
2019-01-02,Beef Boneless,Kharkhorin,kg,9500.0
2019-01-02,Beef Boneless,Khuchit Shonkhor,kg,10000.0
2019-01-02,Beef Boneless,Max/M Mart,kg,10500.0
