"Статистик үзүүлэлт","Засаг захиргааны нэгж","2010","2011","2012","2013","2014","2015","2016","2017"
"Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг","Улсын дүн","118","96","138","54","44","10","36","34"
"Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг","Баруун бүс","13","5","11","10","15","10","3","7"
"Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг","Завхан","","","1","","1","1","0","0"
"Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг","Улиастай","","","","","15","","",""
"Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг","Алдархаан","","","","","1","","",""
"Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг","Баянтэс","","","1","","","","",""
"Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг","Тэс","","","","","1","1","",""
"Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг","Цагаанхайрхан","","","","","1","","",""
"Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг","Говь-Алтай","0","0","0","0","","","","0"
"Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг","Баян-Өлгий","0","0","1","0","2","3","0","0"
"Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг","Өлгий","","","1","","1","","",""
"Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг","Алтай","","","","","2","","",""
"Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг","Алтанцөгц","","","","","1","","",""
"Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг","Ногооннуур","","","","","1","2","",""
"Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг","Толбо","","","","","1","","",""
"Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг","Улаанхус","","","","","","1","",""
"Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг","Ховд","1","2","1","1","","","","1"
"Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг","Булган","1","2","1","1","","","",""
"Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг","Үенч","","","","","","","","1"
"Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг","Увс","12","3","8","9","12","6","3","6"
"Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг","Улаангом","","","1","","","","",""
"Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг","Баруунтуруун","1","","","","2","","",""
"Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг","Бөхмөрөн","1","","2","2","2","","","1"
"Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг","Давст","","","","2","3","1","","2"
"Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг","Завхан","","","","","2","","",""
"Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг","Зүүнговь","1","","1","","1","3","",""
"Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг","Малчин","","","","","1","","",""
"Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг","Сагил","1","","1","2","2","1","1",""
"Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг","Түргэн","","","","","2","","",""
"Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг","Тэс","8","3","3","3","2","1","2","3"
"Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг","Хяргас","","","","","2","","",""
"Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг","Хангайн бүс","0","2","3","0","0","0","0","2"
"Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг","Орхон","0","0","0","0","","","",""
"Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг","Баян-Өндөр","","","","","0","","",""
"Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг","Өвөрхангай","0","0","0","0","","","0","0"
"Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг","Булган","0","1","0","0","","","","1"
"Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг","Тэшиг","","1","","","","","","1"
"Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг","Баянхонгор","0","0","0","0","0","0","0","0"
"Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг","Баацагаан","","","","","0","","",""
"Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг","Архангай","0","0","0","0","","","",""
"Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг","Хөвсгөл","0","1","3","0","","","","1"
"Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг","Мөрөн","","","1","","","","",""
"Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг","Ханх","","1","2","","","","",""
"Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг","Цагаан-Үүр","","","","","","","","1"
"Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг","Төвийн бүс","29","15","7","7","11","0","14","13"
"Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг","Төв","0","0","0","0","","","",""
"Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг","Зуунмод","","","","","11","","",""
"Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг","Говьсүмбэр","0","0","0","0","","","",""
"Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг","Сэлэнгэ","2","3","1","1","1","","5","3"
"Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг","Сүхбаатар","1","1","","","","","","1"
"Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг","Алтанбулаг","","","1","","1","","5","1"
"Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг","Түшиг","1","2","","1","","","","1"
"Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг","Хүдэр","","","","","1","","",""
"Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг","Цагааннуур","","","","","1","","",""
"Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг","Дорноговь","27","11","3","3","7","","8","5"
"Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг","Сайншанд","","","","","1","","",""
"Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг","Айраг","","","","","6","","",""
"Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг","Алтанширээ","","","","","1","","",""
"Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг","Даланжаргалан","","","","","6","","",""
"Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг","Замын-Үүд","25","11","3","3","","","8","5"
"Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг","Хатанбулаг","1","","","","","","",""
"Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг","Эрдэнэ","1","","","","","","",""
"Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг","Дархан-Уул","0","0","0","1","","","",""
"Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг","Дархан","","","","1","","","",""
"Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг","Өмнөговь","0","1","3","2","3","","1","5"
"Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг","Баяндалай","","","","","1","","",""
"Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг","Булган","","","","","1","","",""
"Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг","Гурвантэс","","","1","2","","","","4"
"Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг","Ханбогд","","1","2","","2","","1","1"
"Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг","Хүрмэн","","","","","2","","",""
"Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг","Дундговь","0","0","0","0","","","",""
"Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг","Зүүн бүс","2","3","2","0","3","0","4","2"
"Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг","Дорнод","2","2","1","0","3","","3","1"
"Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг","Хэрлэн","1","","","","3","","","1"
"Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг","Баяндун","","","","","3","","",""
"Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг","Дашбалбар","1","","","","","","",""
"Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг","Халхгол","","2","1","","","","3",""
"Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг","Чойбалсан","","","","","3","","",""
"Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг","Сүхбаатар","0","1","0","0","3","","1","1"
"Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг","Онгон","","1","","","","","",""
"Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг","Эрдэнэцагаан","","","","","","","1","1"
"Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг","Хэнтий","0","0","1","0","","","",""
"Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг","Хэрлэн","","","1","","","","",""
"Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг","Улаанбаатар","66","70","114","2","15","","4","9"
"Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг","Улаанбаатар","66","70","114","2","15","","4","9"
"Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг","Багануур","","","","","0","","",""
"Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг","Багахангай","","","","","0","","",""
"Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг","Баянгол","","","","1","","","",""
"Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг","Баянзүрх","","1","","1","","","",""
"Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг","Сонгинохайрхан","","1","","","","","",""
"Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг","Сүхбаатар","","","2","","","","",""
"Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг","Хан-Уул","66","68","111","","15","","4","7"
"Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг","Чингэлтэй","","","1","","","","","2"
"Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг","Нисэх","","","","35","","","",""
"Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг","Бусад","8","1","1","","","","11","1"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Улсын дүн","6,813","6,462","7,155","8,156","8,697","8,468","8,691","9,533"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Баруун бүс","539","523","624","643","630","648","604","607"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Завхан","136","140","149","122","110","77","99","74"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Улиастай","60","46","53","44","45","41","47","31"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Алдархаан","9","6","2","5","5","2","4","4"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Асгат","1","","8","7","3","3","2","1"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Баянтэс","3","","1","","3","1","2",""
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Баянхайрхан","2","","1","2","","2","","3"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Дөрвөлжин","4","2","1","5","1","2","4","3"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Завханмандал","1","1","","","1","2","1",""
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Идэр","8","12","7","4","1","3","2","4"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Их-Уул","1","7","9","8","6","1","3","2"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Нөмрөг","3","3","2","2","3","1","2","1"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Отгон","1","12","5","1","2","","1","2"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Сантмаргац","1","6","12","7","4","2","2",""
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Сонгино","5","2","3","1","","2","4","5"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Булнай","9","16","21","10","14","8","20","10"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Түдэвтэй","3","1","","4","2","","","1"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Тэлмэн","2","1","3","5","","1","","1"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Тэс","4","6","2","6","6","1","",""
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Ургамал","2","1","","","","","1","1"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Цагаанхайрхан","","1","5","1","2","","","1"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Цагаанчулуут","1","2","1","4","2","3","",""
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Цэцэн-Уул","","1","","1","4","","2","2"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Шилүүстэй","12","8","10","2","","","1","1"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Эрдэнэхайрхан","1","4","3","3","4","","",""
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Яруу","3","2","","","2","2","1","1"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Говь-Алтай","32","24","46","59","78","77","72","73"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Есөнбулаг","5","7","31","28","43","43","47","43"
