"Засаг захиргааны нэгж","Гэмт хэргийн ангилал","2018","2019"
"Улсын дүн","Улсын дүн","36,220","31,524"
"Улсын дүн","Үндэсний аюулгүй байдлын эсрэг","99","29"
"Улсын дүн","Хүний амьд явах эрхийн эсрэг","714","636"
"Улсын дүн","Хүнийг  санаатай алах","192","197"
"Улсын дүн","Хүнийг амиа хорлох нөхцөл байдалд  хүргэх","459","377"
"Улсын дүн","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","9,134","8,265"
"Улсын дүн","Өмчлөх эрхийн эсрэг","22,468","18,341"
"Улсын дүн","Хулгайлах","12,328","8,968"
"Улсын дүн","Мал хулгайлах","1,096","1,809"
"Улсын дүн","Дээрэмдэх","1,497","868"
"Улсын дүн","Залилах","5,372","4,688"
"Улсын дүн","Хөрөнгө завших","562","601"
"Улсын дүн","Олон нийтийн   аюулгүй байдал, ашиг сонирхлын  эсрэг","314","333"
"Улсын дүн","Эрүүл мэндийн эсрэг","33","39"
"Улсын дүн","Хүрээлэн байгаа орчны эсрэг","366","489"
"Улсын дүн","ХАБТХАЖ-ын эсрэг гэмт хэрэг","1,231","1,276"
"Улсын дүн","Хүний бэлгийн эрх чөлөө, халдашгүй байдлын эсрэг гэмт хэрэг","621","610"
"Улсын дүн","Хүний халдашгүй чөлөөтэй ажиллах эрхийн эсрэг гэмт хэрэг","115","115"
"Улсын дүн","Хүний хувийн улс төрийн эрх, эрх чөлөөний эсрэг гэмт хэрэг","6","3"
"Улсын дүн","Хүүхдийн эсрэг  гэмт хэрэг","21","31"
"Улсын дүн","Эдийн засгийн гэмт хэрэг","242","247"
"Улсын дүн","Хэрэг шалган шийдвэрлэх ажиллагааны эсрэг гэмт хэрэг","196","172"
"Улсын дүн","Авлигын эсрэг","362","523"
"Улсын дүн","Нийтийн албаны ашиг сонирхлын эсрэг гэмт хэрэг","237","341"
"Улсын дүн","Соёлын өвийн эсрэг","3","5"
"Улсын дүн","Цахим мэдээллийн аюулгүй байдлын эсрэг","42","57"
"Улсын дүн","Цэргийн албаны эсрэг гэмт хэрэг","15","12"
"Улсын дүн","Хүн төрөлхтний аюулгүй байдал, энх тайвны эсрэг гэмт хэрэг","1",""
"Баруун бүс","Улсын дүн","1,451","1,596"
"Баруун бүс","Үндэсний аюулгүй байдлын эсрэг","19","5"
"Баруун бүс","Хүний амьд явах эрхийн эсрэг","24","29"
"Баруун бүс","Хүнийг  санаатай алах","10","11"
"Баруун бүс","Хүнийг амиа хорлох нөхцөл байдалд  хүргэх","8","15"
"Баруун бүс","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","444","459"
"Баруун бүс","Өмчлөх эрхийн эсрэг","668","786"
"Баруун бүс","Хулгайлах","338","326"
"Баруун бүс","Мал хулгайлах","154","186"
"Баруун бүс","Дээрэмдэх","13","19"
"Баруун бүс","Залилах","89","134"
"Баруун бүс","Хөрөнгө завших","34","56"
"Баруун бүс","Олон нийтийн   аюулгүй байдал, ашиг сонирхлын  эсрэг","9","1"
"Баруун бүс","Эрүүл мэндийн эсрэг","3","2"
"Баруун бүс","Хүрээлэн байгаа орчны эсрэг","40","82"
"Баруун бүс","ХАБТХАЖ-ын эсрэг гэмт хэрэг","97","79"
"Баруун бүс","Хүний бэлгийн эрх чөлөө, халдашгүй байдлын эсрэг гэмт хэрэг","34","52"
"Баруун бүс","Хүний халдашгүй чөлөөтэй ажиллах эрхийн эсрэг гэмт хэрэг","6","2"
"Баруун бүс","Хүний хувийн улс төрийн эрх, эрх чөлөөний эсрэг гэмт хэрэг","0",""
"Баруун бүс","Хүүхдийн эсрэг  гэмт хэрэг","0","1"
"Баруун бүс","Эдийн засгийн гэмт хэрэг","10","1"
"Баруун бүс","Хэрэг шалган шийдвэрлэх ажиллагааны эсрэг гэмт хэрэг","15","18"
"Баруун бүс","Авлигын эсрэг","55","44"
"Баруун бүс","Нийтийн албаны ашиг сонирхлын эсрэг гэмт хэрэг","26","33"
"Баруун бүс","Соёлын өвийн эсрэг","0",""
"Баруун бүс","Цахим мэдээллийн аюулгүй байдлын эсрэг","0","1"
"Баруун бүс","Цэргийн албаны эсрэг гэмт хэрэг","1","1"
"Баруун бүс","Хүн төрөлхтний аюулгүй байдал, энх тайвны эсрэг гэмт хэрэг","1",""
"Завхан","Улсын дүн","235","247"
"Завхан","Үндэсний аюулгүй байдлын эсрэг","","2"
"Завхан","Хүний амьд явах эрхийн эсрэг","5","5"
"Завхан","Хүнийг  санаатай алах","2","3"
"Завхан","Хүнийг амиа хорлох нөхцөл байдалд  хүргэх","1","1"
"Завхан","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","73","80"
"Завхан","Өмчлөх эрхийн эсрэг","106","108"
"Завхан","Хулгайлах","60","42"
"Завхан","Мал хулгайлах","31","42"
"Завхан","Дээрэмдэх","1",""
"Завхан","Залилах","3","15"
"Завхан","Хөрөнгө завших","6","8"
"Завхан","Олон нийтийн   аюулгүй байдал, ашиг сонирхлын  эсрэг","1",""
"Завхан","Эрүүл мэндийн эсрэг","0","1"
